item_id,premise,hypothesis,correct_label,condition,plausibility,memory_load,human_label
1,The mechanic assembled the engine.,The mechanic assembled the engine.,e,Transitive,plausible,one,e
2,The tailor bent the wire.,The tailor bent the wire.,e,Transitive,plausible,one,e
3,The child bit the apple.,The child bit the apple.,e,Transitive,plausible,one,e
4,The chef blended the ingredients.,The chef blended the ingredients.,e,Transitive,plausible,one,e
5,The sculptor carved the statue.,The sculptor carved the statue.,e,Transitive,plausible,one,e
6,The chef chopped the vegetables.,The chef chopped the vegetables.,e,Transitive,plausible,one,e
7,The cleaner cleaned the floor.,The cleaner cleaned the floor.,e,Transitive,plausible,one,e
8,The collector collected the stamps.,The collector collected the stamps.,e,Transitive,plausible,one,e
9,The butcher cut the meat.,The butcher cut the meat.,e,Transitive,plausible,one,e
10,The writer described the landscape.,The writer described the landscape.,e,Transitive,plausible,one,e
11,The crew destroyed the building.,The crew destroyed the building.,e,Transitive,plausible,one,e
12,The architect designed the house.,The architect designed the house.,e,Transitive,plausible,one,e
13,The student pushed the cart.,The student pushed the cart.,e,Transitive,plausible,one,e
14,The artist drew the portrait.,The artist drew the portrait.,e,Transitive,plausible,one,e
15,The teacher memorized the concept.,The teacher memorized the concept.,e,Transitive,plausible,one,e
16,The blacksmith flattened the metal.,The blacksmith flattened the metal.,e,Transitive,plausible,one,e
17,The artist folded the paper.,The artist folded the paper.,e,Transitive,plausible,one,e
18,The carpenter hammered the nail.,The carpenter hammered the nail.,e,Transitive,plausible,one,e
19,The hacker hacked the system.,The hacker hacked the system.,e,Transitive,plausible,one,n
20,The boxer hit the wall.,The boxer hit the wall.,e,Transitive,plausible,one,e
21,The player kicked the ball.,The player kicked the ball.,e,Transitive,plausible,one,e
22,The burglar knocked the door.,The burglar knocked the door.,e,Transitive,plausible,one,e
23,The baker made the bread.,The baker made the bread.,e,Transitive,plausible,one,e
24,The blacksmith pounded the metal.,The blacksmith pounded the metal.,e,Transitive,plausible,one,e
25,The factory produced the cars.,The factory produced the cars.,e,Transitive,plausible,one,e
26,The man protected the environment.,The man protected the environment.,e,Transitive,plausible,one,e
27,The boxer punched the sandbag.,The boxer punched the sandbag.,e,Transitive,plausible,one,e
28,The boy read the magazine.,The boy read the magazine.,e,Transitive,plausible,one,e
29,The carpenter sawed the wood.,The carpenter sawed the wood.,e,Transitive,plausible,one,e
30,The firefighter saved the life.,The firefighter saved the life.,e,Transitive,plausible,one,e
31,The vandal shattered the window.,The vandal shattered the window.,e,Transitive,plausible,one,e
32,The pirate slashed the sail.,The pirate slashed the sail.,e,Transitive,plausible,one,e
33,The chef sliced the bread.,The chef sliced the bread.,e,Transitive,plausible,one,e
34,The child smashed the toy.,The child smashed the toy.,e,Transitive,plausible,one,e
35,The player squashed the ball.,The player squashed the ball.,e,Transitive,plausible,one,e
36,The boxer suggested the idea.,The boxer suggested the idea.,e,Transitive,plausible,one,e
37,The student skipped the class.,The student skipped the class.,e,Transitive,plausible,one,e
38,The artist touched the canvas.,The artist touched the canvas.,e,Transitive,plausible,one,e
39,The chef used the knife.,The chef used the knife.,e,Transitive,plausible,one,e
40,The person wasted the water.,The person wasted the water.,e,Transitive,plausible,one,e
41,The carpenter assembled the bookshelf.,The carpenter assembled the bookshelf.,e,Transitive,plausible,one,e
42,The instructor bent the mat.,The instructor bent the mat.,e,Transitive,plausible,one,e
43,The child bit the chocolate.,The child bit the chocolate.,e,Transitive,plausible,one,e
44,The bartender blended the cocktail.,The bartender blended the cocktail.,e,Transitive,plausible,one,e
45,The girl carved the statue.,The girl carved the statue.,e,Transitive,plausible,one,e
46,The chef chopped the onions.,The chef chopped the onions.,e,Transitive,plausible,one,e
47,The cleaner cleaned the windows.,The cleaner cleaned the windows.,e,Transitive,plausible,one,e
