uid,premise,hypothesis,label
1,The circuit was assembled by the engineer.,The circuit was assembled by the engineer.,e
2,The rod was bent by the man.,The rod was bent by the man.,e
3,The dough was bitten by the child.,The dough was bitten by the child.,e
4,The ingredients were blended by the kid.,The ingredients were blended by the kid.,e
5,The wood was carved by the artisan.,The wood was carved by the artisan.,e
6,The vegetables were chopped by the cook.,The vegetables were chopped by the cook.,e
7,The room was cleaned by the staff.,The room was cleaned by the staff.,e
8,The data was collected by the researcher.,The data was collected by the researcher.,e
9,The paper was cut by the teacher.,The paper was cut by the teacher.,e
10,The story was described by the author.,The story was described by the author.,e
11,The building was destroyed by the hero.,The building was destroyed by the hero.,e
12,The product was designed by the team.,The product was designed by the team.,e
13,The criminal was pushed by the officer.,The criminal was pushed by the officer.,e
14,The picture was drawn by the artist.,The picture was drawn by the artist.,e
15,The poem was memorized by the student.,The poem was memorized by the student.,e
16,The dough was flattened by the baker.,The dough was flattened by the baker.,e
17,The shirt was folded by the clerk.,The shirt was folded by the clerk.,e
18,The nail was hammered by the carpenter.,The nail was hammered by the carpenter.,e
19,The system was hacked by the hacker.,The system was hacked by the hacker.,e
20,The ball was hit by the player.,The ball was hit by the player.,e
21,The door was kicked by the person.,The door was kicked by the person.,e
22,The vase was knocked by the cat.,The vase was knocked by the cat.,e
23,The decision was made by the committee.,The decision was made by the committee.,e
24,The metal was pounded by the blacksmith.,The metal was pounded by the blacksmith.,e
25,The goods were produced by the factory.,The goods were produced by the factory.,e
26,The law was protected by the constitution.,The law was protected by the constitution.,e
27,The box was punched by the opponent.,The box was punched by the opponent.,e
28,The book was read by the teacher.,The book was read by the teacher.,e
29,The wood was sawed by the lifeguard.,The wood was sawed by the lifeguard.,e
30,The money was saved by the banker.,The money was saved by the banker.,e
31,The mirror was shattered by the girl.,The mirror was shattered by the girl.,e
32,The monster was slashed by the hero.,The monster was slashed by the hero.,e
33,The cake was sliced by the chef.,The cake was sliced by the chef.,e
34,The car was smashed by the giant.,The car was smashed by the giant.,e
35,The fruit was squashed by the lady.,The fruit was squashed by the lady.,e
36,The truth was suggested by the professor.,The truth was suggested by the professor.,e
37,The step was skipped by the dancer.,The step was skipped by the dancer.,e
38,The rope was skipped by the child.,The rope was skipped by the child.,e
39,The statement was issued by the company.,The statement was issued by the company.,e
40,The mystery was tackled by the detective.,The mystery was tackled by the detective.,e
41,The manager allocated the employees the workstations.,The manager allocated the employees the workstations.,e
42,The leader assigned the assistant the tasks.,The leader assigned the assistant the tasks.,e
43,The committee awarded the athlete the trophy.,The committee awarded the athlete the trophy.,e
44,The mother brought the friend the cookies.,The mother brought the friend the cookies.,e
45,The coordinator emailed the team the agenda.,The coordinator emailed the team the agenda.,e
46,The company extended the client the warranty.,The company extended the client the warranty.,e
47,The assistant faxed the supervisor the documents.,The assistant faxed the supervisor the documents.,e
48,The farmer fed the ducks the grain.,The farmer fed the ducks the grain.,e
49,The representative forwarded the client the email.,The representative forwarded the client the email.,e
50,The grandmother gave the sister the heirloom.,The grandmother gave the sister the heirloom.,e
51,The foundation granted the organization the funding.,The foundation granted the organization the funding.,e
52,The cashier handed the customer the change.,The cashier handed the customer the change.,e
53,The crew hauled the friend the furniture.,The crew hauled the friend the furniture.,e
54,The council issued the citizens the notice.,The council issued the citizens the notice.,e
55,The neighbor lent the homeowner the tools.,The neighbor lent the homeowner the tools.,e
56,The landlord leased the tenant the apartment.,The landlord leased the tenant the apartment.,e
57,The manager left the colleague the keys.,The manager left the colleague the keys.,e
58,The friend loaned the guy the ladder.,The friend loaned the guy the ladder.,e
59,The secretary mailed the recipient the contract.,The secretary mailed the recipient the contract.,e
60,The dealership offered the customer the drive.,The dealership offered the customer the drive.,e
61,The borrower owed the lender the installment.,The borrower owed the lender the installment.,e
62,The professor passed the teacher the papers.,The professor passed the teacher the papers.,e
63,The customer paid the cashier the money.,The customer paid the cashier the money.,e
64,The vacationer posted the friend the photos.,The vacationer posted the friend the photos.,e
65,The provider promised the customer the package.,The provider promised the customer the package.,e
66,The store refunded the customer the money.,The store refunded the customer the money.,e
67,The courier relayed the manager the message.,The courier relayed the manager the message.,e
68,The student repaid the lender the loan.,The student repaid the lender the loan.,e
69,The gallery sold the customer the painting.,The gallery sold the customer the painting.,e
70,The aunt sent the friend the card.,The aunt sent the friend the card.,e
71,The waiter served the guests the course.,The waiter served the guests the course.,e
72,The shop shipped the recipient the order.,The shop shipped the recipient the order.,e
73,The guide showed the tourists the sites.,The guide showed the tourists the sites.,e
74,The guest slipped the receptionist the number.,The guest slipped the receptionist the number.,e
75,The smuggler smuggled the man the goods.,The smuggler smuggled the man the goods.,e
76,The librarian took the mother the books.,The librarian took the mother the books.,e
77,The instructor taught the students the concept.,The instructor taught the students the concept.,e
78,The confidante told the friend the news.,The confidante told the friend the news.,e
79,The merchant traded the lady the silk.,The merchant traded the lady the silk.,e
80,The author wrote the publisher the manuscript.,The author wrote the publisher the manuscript.,e
81,The manager allocated the workstations to the employees.,The manager allocated the workstations to the employees.,e
82,The leader assigned the tasks to the assistant.,The leader assigned the tasks to the assistant.,e
83,The committee awarded the trophy to the athlete.,The committee awarded the trophy to the athlete.,e
84,The mother brought the cookies to the friend.,The mother brought the cookies to the friend.,e
85,The coordinator emailed the agenda to the team.,The coordinator emailed the agenda to the team.,e
86,The company extended the warranty to the client.,The company extended the warranty to the client.,e
87,The assistant faxed the documents to the supervisor.,The assistant faxed the documents to the supervisor.,e
88,The farmer fed the grain to the ducks.,The farmer fed the grain to the ducks.,e
