ItemID,Context,Question,Correct_answer,Target_sentence_position,Experimental_or_filler,Number_of_propositions,Condition
1,The mechanic assembled the engine.,Did the mechanic assemble the engine?,Yes,na,Experimental,one,Transitive_plausible
2,The tailor bent the wire.,Did the tailor bend the wire?,Yes,na,Experimental,one,Transitive_plausible
3,The child bit the apple.,Did the child bite the apple?,Yes,na,Experimental,one,Transitive_plausible
4,The chef blended the ingredients.,Did the chef blend the ingredients?,Yes,na,Experimental,one,Transitive_plausible
5,The sculptor carved the statue.,Did the sculptor carve the statue?,Yes,na,Experimental,one,Transitive_plausible
6,The chef chopped the vegetables.,Did the chef chop the vegetables?,Yes,na,Experimental,one,Transitive_plausible
7,The cleaner cleaned the floor.,Did the cleaner clean the floor?,Yes,na,Experimental,one,Transitive_plausible
8,The collector collected the stamps.,Did the collector collect the stamps?,Yes,na,Experimental,one,Transitive_plausible
9,The butcher cut the meat.,Did the butcher cut the meat?,Yes,na,Experimental,one,Transitive_plausible
10,The writer described the landscape.,Did the writer describe the landscape?,Yes,na,Experimental,one,Transitive_plausible
11,The crew destroyed the building.,Did the crew destroy the building?,Yes,na,Experimental,one,Transitive_plausible
12,The architect designed the house.,Did the architect design the house?,Yes,na,Experimental,one,Transitive_plausible
13,The student pushed the cart.,Did the student push the cart?,Yes,na,Experimental,one,Transitive_plausible
14,The artist drew the portrait.,Did the artist draw the portrait?,Yes,na,Experimental,one,Transitive_plausible
15,The teacher memorized the concept.,Did the teacher memorize the concept?,Yes,na,Experimental,one,Transitive_plausible
16,The blacksmith flattened the metal.,Did the blacksmith flatten the metal?,Yes,na,Experimental,one,Transitive_plausible
17,The artist folded the paper.,Did the artist fold the paper?,Yes,na,Experimental,one,Transitive_plausible
18,The carpenter hammered the nail.,Did the carpenter hammer the nail?,Yes,na,Experimental,one,Transitive_plausible
19,The hacker hacked the system.,Did the hacker hack the system?,Yes,na,Experimental,one,Transitive_plausible
20,The boxer hit the wall.,Did the boxer hit the wall?,Yes,na,Experimental,one,Transitive_plausible
21,The player kicked the ball.,Did the player kick the ball?,Yes,na,Experimental,one,Transitive_plausible
22,The burglar knocked the door.,Did the burglar knock on the door?,Yes,na,Experimental,one,Transitive_plausible
23,The baker made the bread.,Did the baker make the bread?,Yes,na,Experimental,one,Transitive_plausible
24,The blacksmith pounded the metal.,Did the blacksmith pound the metal?,Yes,na,Experimental,one,Transitive_plausible
25,The factory produced the cars.,Did the factory produce the cars?,Yes,na,Experimental,one,Transitive_plausible
26,The man protected the environment.,Did the man protect the environment?,Yes,na,Experimental,one,Transitive_plausible
27,The boxer punched the sandbag.,Did the boxer punch the sandbag?,Yes,na,Experimental,one,Transitive_plausible
28,The boy read the magazine.,Did the boy read the magazine?,Yes,na,Experimental,one,Transitive_plausible
29,The carpenter sawed the wood.,Did the carpenter saw the wood?,Yes,na,Experimental,one,Transitive_plausible
30,The firefighter saved the life.,Did the firefighter save the life?,Yes,na,Experimental,one,Transitive_plausible
31,The vandal shattered the window.,Did the vandal shatter the window?,Yes,na,Experimental,one,Transitive_plausible
32,The pirate slashed the sail.,Did the pirate slash the sail?,Yes,na,Experimental,one,Transitive_plausible
33,The chef sliced the bread.,Did the chef slice the bread?,Yes,na,Experimental,one,Transitive_plausible
34,The child smashed the toy.,Did the child smash the toy?,Yes,na,Experimental,one,Transitive_plausible
35,The player squashed the ball.,Did the player squash the ball?,Yes,na,Experimental,one,Transitive_plausible
36,The boxer suggested the idea.,Did the boxer suggest the idea?,Yes,na,Experimental,one,Transitive_plausible
37,The student skipped the class.,Did the student skip the class?,Yes,na,Experimental,one,Transitive_plausible
38,The artist touched the canvas.,Did the artist touch the canvas?,Yes,na,Experimental,one,Transitive_plausible
39,The chef used the knife.,Did the chef use the knife?,Yes,na,Experimental,one,Transitive_plausible
