premise,hypothesis,label,Target_sentence_position,Experiment_or_filler,Number_of_propositions,Condition,group
The mechanic assembled the engine.,The mechanic assembled the engine.,entailment,na,Experimental,one,Transitive_plausible,
The tailor bent the wire.,The tailor bent the wire.,entailment,na,Experimental,one,Transitive_plausible,
The child bit the apple.,The child bit the apple.,entailment,na,Experimental,one,Transitive_plausible,
The chef blended the ingredients.,The chef blended the ingredients.,entailment,na,Experimental,one,Transitive_plausible,
The sculptor carved the statue.,The sculptor carved the statue.,entailment,na,Experimental,one,Transitive_plausible,
The chef chopped the vegetables.,The chef chopped the vegetables.,entailment,na,Experimental,one,Transitive_plausible,
The cleaner cleaned the floor.,The cleaner cleaned the floor.,entailment,na,Experimental,one,Transitive_plausible,
The collector collected the stamps.,The collector collected the stamps.,entailment,na,Experimental,one,Transitive_plausible,
The butcher cut the meat.,The butcher cut the meat.,entailment,na,Experimental,one,Transitive_plausible,
The writer described the landscape.,The writer described the landscape.,entailment,na,Experimental,one,Transitive_plausible,
The crew destroyed the building.,The crew destroyed the building.,entailment,na,Experimental,one,Transitive_plausible,
The architect designed the house.,The architect designed the house.,entailment,na,Experimental,one,Transitive_plausible,
The student pushed the cart.,The student pushed the cart.,entailment,na,Experimental,one,Transitive_plausible,
The artist drew the portrait.,The artist drew the portrait.,entailment,na,Experimental,one,Transitive_plausible,
The teacher memorized the concept.,The teacher memorized the concept.,entailment,na,Experimental,one,Transitive_plausible,
The blacksmith flattened the metal.,The blacksmith flattened the metal.,entailment,na,Experimental,one,Transitive_plausible,
The artist folded the paper.,The artist folded the paper.,entailment,na,Experimental,one,Transitive_plausible,
The carpenter hammered the nail.,The carpenter hammered the nail.,entailment,na,Experimental,one,Transitive_plausible,
The hacker hacked the system.,The hacker hacked the system.,entailment,na,Experimental,one,Transitive_plausible,
The boxer hit the wall.,The boxer hit the wall.,entailment,na,Experimental,one,Transitive_plausible,
The player kicked the ball.,The player kicked the ball.,entailment,na,Experimental,one,Transitive_plausible,
The burglar knocked the door.,The burglar knocked the door.,entailment,na,Experimental,one,Transitive_plausible,
The baker made the bread.,The baker made the bread.,entailment,na,Experimental,one,Transitive_plausible,
The blacksmith pounded the metal.,The blacksmith pounded the metal.,entailment,na,Experimental,one,Transitive_plausible,
The factory produced the cars.,The factory produced the cars.,entailment,na,Experimental,one,Transitive_plausible,
The man protected the environment.,The man protected the environment.,entailment,na,Experimental,one,Transitive_plausible,
The boxer punched the sandbag.,The boxer punched the sandbag.,entailment,na,Experimental,one,Transitive_plausible,
The boy read the magazine.,The boy read the magazine.,entailment,na,Experimental,one,Transitive_plausible,
The carpenter sawed the wood.,The carpenter sawed the wood.,entailment,na,Experimental,one,Transitive_plausible,
The firefighter saved the life.,The firefighter saved the life.,entailment,na,Experimental,one,Transitive_plausible,
The vandal shattered the window.,The vandal shattered the window.,entailment,na,Experimental,one,Transitive_plausible,
The pirate slashed the sail.,The pirate slashed the sail.,entailment,na,Experimental,one,Transitive_plausible,
The chef sliced the bread.,The chef sliced the bread.,entailment,na,Experimental,one,Transitive_plausible,
The child smashed the toy.,The child smashed the toy.,entailment,na,Experimental,one,Transitive_plausible,
The player squashed the ball.,The player squashed the ball.,entailment,na,Experimental,one,Transitive_plausible,
The boxer suggested the idea.,The boxer suggested the idea.,entailment,na,Experimental,one,Transitive_plausible,
The student skipped the class.,The student skipped the class.,entailment,na,Experimental,one,Transitive_plausible,
The artist touched the canvas.,The artist touched the canvas.,entailment,na,Experimental,one,Transitive_plausible,
The chef used the knife.,The chef used the knife.,entailment,na,Experimental,one,Transitive_plausible,
The person wasted the water.,The person wasted the water.,entailment,na,Experimental,one,Transitive_plausible,
The carpenter assembled the bookshelf.,The carpenter assembled the bookshelf.,entailment,na,Experimental,one,Transitive_plausible,
The instructor bent the mat.,The instructor bent the mat.,entailment,na,Experimental,one,Transitive_plausible,
The child bit the chocolate.,The child bit the chocolate.,entailment,na,Experimental,one,Transitive_plausible,
The bartender blended the cocktail.,The bartender blended the cocktail.,entailment,na,Experimental,one,Transitive_plausible,
The girl carved the statue.,The girl carved the statue.,entailment,na,Experimental,one,Transitive_plausible,
The chef chopped the onions.,The chef chopped the onions.,entailment,na,Experimental,one,Transitive_plausible,
The cleaner cleaned the windows.,The cleaner cleaned the windows.,entailment,na,Experimental,one,Transitive_plausible,
The collector collected the coins.,The collector collected the coins.,entailment,na,Experimental,one,Transitive_plausible,
The tailor cut the fabric.,The tailor cut the fabric.,entailment,na,Experimental,one,Transitive_plausible,
The guide described the monument.,The guide described the monument.,entailment,na,Experimental,one,Transitive_plausible,
The crew destroyed the facility.,The crew destroyed the facility.,entailment,na,Experimental,one,Transitive_plausible,
The designer designed the logo.,The designer designed the logo.,entailment,na,Experimental,one,Transitive_plausible,
The student pushed the button.,The student pushed the button.,entailment,na,Experimental,one,Transitive_plausible,
The artist drew the landscape.,The artist drew the landscape.,entailment,na,Experimental,one,Transitive_plausible,
The boy memorized the lines.,The boy memorized the lines.,entailment,na,Experimental,one,Transitive_plausible,
The ironworker flattened the plate.,The ironworker flattened the plate.,entailment,na,Experimental,one,Transitive_plausible,
The artist folded the crane.,The artist folded the crane.,entailment,na,Experimental,one,Transitive_plausible,
The blacksmith hammered the metal.,The blacksmith hammered the metal.,entailment,na,Experimental,one,Transitive_plausible,
The kid hacked the computer.,The kid hacked the computer.,entailment,na,Experimental,one,Transitive_plausible,
The lady hit the bag.,The lady hit the bag.,entailment,na,Experimental,one,Transitive_plausible,
The guy kicked the door.,The guy kicked the door.,entailment,na,Experimental,one,Transitive_plausible,
The student knocked the door.,The student knocked the door.,entailment,na,Experimental,one,Transitive_plausible,
The baker made the cake.,The baker made the cake.,entailment,na,Experimental,one,Transitive_plausible,
The worker pounded the metal.,The worker pounded the metal.,entailment,na,Experimental,one,Transitive_plausible,
The factory produced the smartphones.,The factory produced the smartphones.,entailment,na,Experimental,one,Transitive_plausible,
The soldiers protected the building.,The soldiers protected the building.,entailment,na,Experimental,one,Transitive_plausible,
The boxer punched the locker.,The boxer punched the locker.,entailment,na,Experimental,one,Transitive_plausible,
The student read the novel.,The student read the novel.,entailment,na,Experimental,one,Transitive_plausible,
The carpenter sawed the timber.,The carpenter sawed the timber.,entailment,na,Experimental,one,Transitive_plausible,
The firefighter saved the money.,The firefighter saved the money.,entailment,na,Experimental,one,Transitive_plausible,
The vandals shattered the window.,The vandals shattered the window.,entailment,na,Experimental,one,Transitive_plausible,
The pirate slashed the sail.,The pirate slashed the sail.,entailment,na,Experimental,one,Transitive_plausible,
The chef sliced the tomato.,The chef sliced the tomato.,entailment,na,Experimental,one,Transitive_plausible,
The child smashed the toy car.,The child smashed the toy car.,entailment,na,Experimental,one,Transitive_plausible,
The player squashed the ball.,The player squashed the ball.,entailment,na,Experimental,one,Transitive_plausible,
The manager suggested the policy.,The manager suggested the policy.,entailment,na,Experimental,one,Transitive_plausible,
The student skipped the party.,The student skipped the party.,entailment,na,Experimental,one,Transitive_plausible,
The artist touched the canvas.,The artist touched the canvas.,entailment,na,Experimental,one,Transitive_plausible,
The chef used the blender.,The chef used the blender.,entailment,na,Experimental,one,Transitive_plausible,
The person wasted the electricity.,The person wasted the electricity.,entailment,na,Experimental,one,Transitive_plausible,
The engine assembled the mechanic.,The engin assembled the mechanic.,entailment,na,Experimental,one,Transitive_implausible,
The wire bent the tailor.,The wir bent the tailor.,entailment,na,Experimental,one,Transitive_implausible,
The apple bit the child.,The appl bit the child.,entailment,na,Experimental,one,Transitive_implausible,
The ingredients blended the chef.,The ingredients blended the chef.,entailment,na,Experimental,one,Transitive_implausible,
The statue carved the sculptor.,The statu carved the sculptor.,entailment,na,Experimental,one,Transitive_implausible,
The vegetables chopped the chef.,The vegetables chopped the chef.,entailment,na,Experimental,one,Transitive_implausible,
The floor cleaned the cleaner.,The floor cleaned the cleaner.,entailment,na,Experimental,one,Transitive_implausible,
The stamps collected the collector.,The stamps collected the collector.,entailment,na,Experimental,one,Transitive_implausible,
The meat cut the butcher.,The meat cut the butcher.,entailment,na,Experimental,one,Transitive_implausible,
The landscape described the writer.,The landscap described the writer.,entailment,na,Experimental,one,Transitive_implausible,
The building destroyed the crew.,The building destroyed the crew.,entailment,na,Experimental,one,Transitive_implausible,
The house designed the architect.,The hous designed the architect.,entailment,na,Experimental,one,Transitive_implausible,
The cart pushed the student.,The cart pushed the student.,entailment,na,Experimental,one,Transitive_implausible,
The portrait drew the artist.,The portrait drew the artist.,entailment,na,Experimental,one,Transitive_implausible,
The concept memorized the teacher.,The concept memorized the teacher.,entailment,na,Experimental,one,Transitive_implausible,
The metal flattened the blacksmith.,The metal flattened the blacksmith.,entailment,na,Experimental,one,Transitive_implausible,
The paper folded the artist.,The paper folded the artist.,entailment,na,Experimental,one,Transitive_implausible,
The nail hammered the carpenter.,The nail hammered the carpenter.,entailment,na,Experimental,one,Transitive_implausible,
The system hacked the hacker.,The system hacked the hacker.,entailment,na,Experimental,one,Transitive_implausible,
The wall hit the boxer.,The wall hit the boxer.,entailment,na,Experimental,one,Transitive_implausible,
The ball kicked the player.,The ball kicked the player.,entailment,na,Experimental,one,Transitive_implausible,
The door knocked the burglar.,The door knocked the burglar.,entailment,na,Experimental,one,Transitive_implausible,
The bread made the baker.,The bread made the baker.,entailment,na,Experimental,one,Transitive_implausible,
The metal pounded the blacksmith.,The metal pounded the blacksmith.,entailment,na,Experimental,one,Transitive_implausible,
The cars produced the factory.,The cars produced the factory.,entailment,na,Experimental,one,Transitive_implausible,
The environment protected the man.,The environment protected the man.,entailment,na,Experimental,one,Transitive_implausible,
The sandbag punched the boxer.,The sandbag punched the boxer.,entailment,na,Experimental,one,Transitive_implausible,
The magazine read the boy.,The magazin read the boy.,entailment,na,Experimental,one,Transitive_implausible,
The wood sawed the carpenter.,The wood sawed the carpenter.,entailment,na,Experimental,one,Transitive_implausible,
The life saved the firefighter.,The lif saved the firefighter.,entailment,na,Experimental,one,Transitive_implausible,
The window shattered the vandal.,The window shattered the vandal.,entailment,na,Experimental,one,Transitive_implausible,
The sail slashed the pirate.,The sail slashed the pirate.,entailment,na,Experimental,one,Transitive_implausible,
The bread sliced the chef.,The bread sliced the chef.,entailment,na,Experimental,one,Transitive_implausible,
The toy smashed the child.,The toy smashed the child.,entailment,na,Experimental,one,Transitive_implausible,
The ball squashed the squash player.,The ball squashed the squash player.,entailment,na,Experimental,one,Transitive_implausible,
The idea suggested the boxer.,The idea suggested the boxer.,entailment,na,Experimental,one,Transitive_implausible,
The class skipped the student.,The class skipped the student.,entailment,na,Experimental,one,Transitive_implausible,
The canvas touched the artist.,The canvas touched the artist.,entailment,na,Experimental,one,Transitive_implausible,
The knife used the chef.,The knif used the chef.,entailment,na,Experimental,one,Transitive_implausible,
The water wasted the person.,The water wasted the person.,entailment,na,Experimental,one,Transitive_implausible,
The bookshelf assembled the carpenter.,The bookshelf assembled the carpenter.,entailment,na,Experimental,one,Transitive_implausible,
The mat bent the instructor.,The mat bent the instructor.,entailment,na,Experimental,one,Transitive_implausible,
The chocolate bit the child.,The chocolat bit the child.,entailment,na,Experimental,one,Transitive_implausible,
The cocktail blended the bartender.,The cocktail blended the bartender.,entailment,na,Experimental,one,Transitive_implausible,
The statue carved the girl.,The statu carved the girl.,entailment,na,Experimental,one,Transitive_implausible,
The onions chopped the chef.,The onions chopped the chef.,entailment,na,Experimental,one,Transitive_implausible,
The windows cleaned the cleaner.,The windows cleaned the cleaner.,entailment,na,Experimental,one,Transitive_implausible,
The coins collected the collector.,The coins collected the collector.,entailment,na,Experimental,one,Transitive_implausible,
The fabric cut the tailor.,The fabric cut the tailor.,entailment,na,Experimental,one,Transitive_implausible,
The monument described the guide.,The monument described the guide.,entailment,na,Experimental,one,Transitive_implausible,
The facility destroyed the crew.,The faciliti destroyed the crew.,entailment,na,Experimental,one,Transitive_implausible,
The logo designed the designer.,The logo designed the designer.,entailment,na,Experimental,one,Transitive_implausible,
The button pushed the student.,The button pushed the student.,entailment,na,Experimental,one,Transitive_implausible,
The landscape drew the artist.,The landscap drew the artist.,entailment,na,Experimental,one,Transitive_implausible,
The lines memorized the lines.,The lines memorized the lines.,entailment,na,Experimental,one,Transitive_implausible,
The plate flattened the ironworker.,The plat flattened the ironworker.,entailment,na,Experimental,one,Transitive_implausible,
The crane folded the artist.,The cran folded the artist.,entailment,na,Experimental,one,Transitive_implausible,
The metal hammered the blacksmith.,The metal hammered the blacksmith.,entailment,na,Experimental,one,Transitive_implausible,
The computer hacked the kid.,The computer hacked the kid.,entailment,na,Experimental,one,Transitive_implausible,
The bag hit the lady.,The bag hit the lady.,entailment,na,Experimental,one,Transitive_implausible,
The wall kicked the guy.,The wall kicked the guy.,entailment,na,Experimental,one,Transitive_implausible,
The door knocked the student.,The door knocked the student.,entailment,na,Experimental,one,Transitive_implausible,
The cake made the baker.,The cak made the baker.,entailment,na,Experimental,one,Transitive_implausible,
The metal pounded the worker.,The metal pounded the worker.,entailment,na,Experimental,one,Transitive_implausible,
The smartphones produced the factory.,The smartphones produced the factory.,entailment,na,Experimental,one,Transitive_implausible,
The building protected the soldiers.,The building protected the soldiers.,entailment,na,Experimental,one,Transitive_implausible,
