ItemID,Context,Question,Correct_answer,Target_sentence_position,Experimental_or_filler,Number_of_propositions,Condition,plausibility,gold_label
1,The mechanic assembled the engine.,Did the mechanic assemble the engine?,Yes,na,Experimental,one,Transitive,plausible,Yes
2,The tailor bent the wire.,Did the tailor bend the wire?,Yes,na,Experimental,one,Transitive,plausible,Yes
3,The child bit the apple.,Did the child bite the apple?,Yes,na,Experimental,one,Transitive,plausible,Yes
4,The chef blended the ingredients.,Did the chef blend the ingredients?,Yes,na,Experimental,one,Transitive,plausible,Yes
5,The sculptor carved the statue.,Did the sculptor carve the statue?,Yes,na,Experimental,one,Transitive,plausible,Yes
6,The chef chopped the vegetables.,Did the chef chop the vegetables?,Yes,na,Experimental,one,Transitive,plausible,Yes
7,The cleaner cleaned the floor.,Did the cleaner clean the floor?,Yes,na,Experimental,one,Transitive,plausible,Yes
8,The collector collected the stamps.,Did the collector collect the stamps?,Yes,na,Experimental,one,Transitive,plausible,Yes
9,The butcher cut the meat.,Did the butcher cut the meat?,Yes,na,Experimental,one,Transitive,plausible,Yes
10,The writer described the landscape.,Did the writer describe the landscape?,Yes,na,Experimental,one,Transitive,plausible,Yes
11,The crew destroyed the building.,Did the crew destroy the building?,Yes,na,Experimental,one,Transitive,plausible,Yes
12,The architect designed the house.,Did the architect design the house?,Yes,na,Experimental,one,Transitive,plausible,Yes
13,The student pushed the cart.,Did the student push the cart?,Yes,na,Experimental,one,Transitive,plausible,Yes
14,The artist drew the portrait.,Did the artist draw the portrait?,Yes,na,Experimental,one,Transitive,plausible,Yes
15,The teacher memorized the concept.,Did the teacher memorize the concept?,Yes,na,Experimental,one,Transitive,plausible,Yes
16,The blacksmith flattened the metal.,Did the blacksmith flatten the metal?,Yes,na,Experimental,one,Transitive,plausible,Yes
17,The artist folded the paper.,Did the artist fold the paper?,Yes,na,Experimental,one,Transitive,plausible,Yes
18,The carpenter hammered the nail.,Did the carpenter hammer the nail?,Yes,na,Experimental,one,Transitive,plausible,Yes
19,The hacker hacked the system.,Did the hacker hack the system?,Yes,na,Experimental,one,Transitive,plausible,No
20,The boxer hit the wall.,Did the boxer hit the wall?,Yes,na,Experimental,one,Transitive,plausible,Yes
21,The player kicked the ball.,Did the player kick the ball?,Yes,na,Experimental,one,Transitive,plausible,Yes
22,The burglar knocked the door.,Did the burglar knock on the door?,Yes,na,Experimental,one,Transitive,plausible,Yes
23,The baker made the bread.,Did the baker make the bread?,Yes,na,Experimental,one,Transitive,plausible,Yes
24,The blacksmith pounded the metal.,Did the blacksmith pound the metal?,Yes,na,Experimental,one,Transitive,plausible,Yes
25,The factory produced the cars.,Did the factory produce the cars?,Yes,na,Experimental,one,Transitive,plausible,Yes
26,The man protected the environment.,Did the man protect the environment?,Yes,na,Experimental,one,Transitive,plausible,Yes
27,The boxer punched the sandbag.,Did the boxer punch the sandbag?,Yes,na,Experimental,one,Transitive,plausible,Yes
28,The boy read the magazine.,Did the boy read the magazine?,Yes,na,Experimental,one,Transitive,plausible,Yes
29,The carpenter sawed the wood.,Did the carpenter saw the wood?,Yes,na,Experimental,one,Transitive,plausible,Yes
30,The firefighter saved the life.,Did the firefighter save the life?,Yes,na,Experimental,one,Transitive,plausible,Yes
31,The vandal shattered the window.,Did the vandal shatter the window?,Yes,na,Experimental,one,Transitive,plausible,Yes
32,The pirate slashed the sail.,Did the pirate slash the sail?,Yes,na,Experimental,one,Transitive,plausible,Yes
33,The chef sliced the bread.,Did the chef slice the bread?,Yes,na,Experimental,one,Transitive,plausible,Yes
34,The child smashed the toy.,Did the child smash the toy?,Yes,na,Experimental,one,Transitive,plausible,Yes
35,The player squashed the ball.,Did the player squash the ball?,Yes,na,Experimental,one,Transitive,plausible,Yes
36,The boxer suggested the idea.,Did the boxer suggest the idea?,Yes,na,Experimental,one,Transitive,plausible,Yes
37,The student skipped the class.,Did the student skip the class?,Yes,na,Experimental,one,Transitive,plausible,Yes
38,The artist touched the canvas.,Did the artist touch the canvas?,Yes,na,Experimental,one,Transitive,plausible,Yes
39,The chef used the knife.,Did the chef use the knife?,Yes,na,Experimental,one,Transitive,plausible,Yes
40,The person wasted the water.,Did the person waste the water?,Yes,na,Experimental,one,Transitive,plausible,Yes
41,The carpenter assembled the bookshelf.,Did the carpenter assemble the bookshelf?,Yes,na,Experimental,one,Transitive,plausible,Yes
42,The instructor bent the mat.,Did the instructor bend the mat?,Yes,na,Experimental,one,Transitive,plausible,Yes
43,The child bit the chocolate.,Did the child bite the chocolate?,Yes,na,Experimental,one,Transitive,plausible,Yes
44,The bartender blended the cocktail.,Did the bartender blend the cocktail?,Yes,na,Experimental,one,Transitive,plausible,Yes
45,The girl carved the statue.,Did the girl carve the statue?,Yes,na,Experimental,one,Transitive,plausible,Yes
46,The chef chopped the onions.,Did the chef chop the onions?,Yes,na,Experimental,one,Transitive,plausible,Yes
47,The cleaner cleaned the windows.,Did the cleaner clean the windows?,Yes,na,Experimental,one,Transitive,plausible,Yes
48,The collector collected the coins.,Did the collector collect the coins?,Yes,na,Experimental,one,Transitive,plausible,Yes
49,The tailor cut the fabric.,Did the tailor cut the fabric?,Yes,na,Experimental,one,Transitive,plausible,Yes
50,The guide described the monument.,Did the guide describe the monument?,Yes,na,Experimental,one,Transitive,plausible,Yes
51,The crew destroyed the facility.,Did the crew destroy the facility?,Yes,na,Experimental,one,Transitive,plausible,Yes
52,The designer designed the logo.,Did the designer design the logo?,Yes,na,Experimental,one,Transitive,plausible,Yes
53,The student pushed the button.,Did the student push the button?,Yes,na,Experimental,one,Transitive,plausible,Yes
54,The artist drew the landscape.,Did the artist draw the landscape?,Yes,na,Experimental,one,Transitive,plausible,Yes
55,The boy memorized the lines.,Did the boy memorize the lines?,Yes,na,Experimental,one,Transitive,plausible,Yes
56,The ironworker flattened the plate.,Did the ironworker flatten the plate?,Yes,na,Experimental,one,Transitive,plausible,Yes
57,The artist folded the crane.,Did the artist fold the crane?,Yes,na,Experimental,one,Transitive,plausible,Yes
58,The blacksmith hammered the metal.,Did the blacksmith hammer the metal?,Yes,na,Experimental,one,Transitive,plausible,Yes
59,The kid hacked the computer.,Did the kid hack the computer?,Yes,na,Experimental,one,Transitive,plausible,Yes
60,The lady hit the bag.,Did the lady hit the bag?,Yes,na,Experimental,one,Transitive,plausible,Yes
61,The guy kicked the door.,Did the guy kick the door?,Yes,na,Experimental,one,Transitive,plausible,Yes
62,The student knocked the door.,Did the student knock on the door?,Yes,na,Experimental,one,Transitive,plausible,No
63,The baker made the cake.,Did the baker make the cake?,Yes,na,Experimental,one,Transitive,plausible,Yes
64,The worker pounded the metal.,Did the worker pound the metal?,Yes,na,Experimental,one,Transitive,plausible,Yes
65,The factory produced the smartphones.,Did the factory produce the smartphones?,Yes,na,Experimental,one,Transitive,plausible,Yes
66,The soldiers protected the building.,Did the soldiers protect the building?,Yes,na,Experimental,one,Transitive,plausible,Yes
67,The boxer punched the locker.,Did the boxer punch the locker?,Yes,na,Experimental,one,Transitive,plausible,Yes
68,The student read the novel.,Did the student read the novel?,Yes,na,Experimental,one,Transitive,plausible,Yes
69,The carpenter sawed the timber.,Did the carpenter saw the timber?,Yes,na,Experimental,one,Transitive,plausible,Yes
70,The firefighter saved the money.,Did the firefighter save the money?,Yes,na,Experimental,one,Transitive,plausible,Yes
71,The vandals shattered the window.,Did the vandals shatter the window?,Yes,na,Experimental,one,Transitive,plausible,Yes
72,The pirate slashed the sail.,Did the pirate slash the sail?,Yes,na,Experimental,one,Transitive,plausible,Yes
73,The chef sliced the tomato.,Did the chef slice the tomato?,Yes,na,Experimental,one,Transitive,plausible,Yes
74,The child smashed the toy car.,Did the child smash the toy car?,Yes,na,Experimental,one,Transitive,plausible,Yes
75,The player squashed the ball.,Did the player squash the ball?,Yes,na,Experimental,one,Transitive,plausible,Yes
76,The manager suggested the policy.,Did the manager suggest the policy?,Yes,na,Experimental,one,Transitive,plausible,Yes
77,The student skipped the party.,Did the student skip the party?,Yes,na,Experimental,one,Transitive,plausible,Yes
78,The artist touched the canvas.,Did the artist touch the canvas?,Yes,na,Experimental,one,Transitive,plausible,Yes
79,The chef used the blender.,Did the chef use the blender?,Yes,na,Experimental,one,Transitive,plausible,Yes
80,The person wasted the electricity.,Did the person waste the electricity?,Yes,na,Experimental,one,Transitive,plausible,Yes
81,The engine assembled the mechanic.,Did the engine assemble the mechanic?,Yes,na,Experimental,one,Transitive,implausible,Yes
82,The wire bent the tailor.,Did the wire bend the tailor?,Yes,na,Experimental,one,Transitive,implausible,Yes
83,The apple bit the child.,Did the apple bite the child?,Yes,na,Experimental,one,Transitive,implausible,Yes
84,The ingredients blended the chef.,Did the ingredients blend the chef?,Yes,na,Experimental,one,Transitive,implausible,Yes
85,The statue carved the sculptor.,Did the statue carve the sculptor?,Yes,na,Experimental,one,Transitive,implausible,Yes
86,The vegetables chopped the chef.,Did the vegetables chop the chef?,Yes,na,Experimental,one,Transitive,implausible,Yes
